product,rating,summary,price,sprice,url
"REDMI 10 (Caribbean Green, 64 GB)",4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
17.02 cm (6.7 inch) HD+ Display
50MP + 2MP | 5MP Front Camera
6000 mAh Lithium Polymer Battery
Qualcomm Snapdragon 680 Processor
1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","10,499","14,999",https://www.flipkart.com/redmi-10-caribbean-green-64-gb/p/itmbfb8dfcdd6e10?pid=MOBGC9GYQGGKWEU3&lid=LSTMOBGC9GYQGGKWEU3NDJY6R&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_25&otracker=search&fm=organic&iid=2e0419b0-f212-4d1f-a13c-09390523109b.MOBGC9GYQGGKWEU3.SEARCH&ppt=None&ppn=None&ssid=kkrxly321s0000001653450243250&qH=eb4af0bf07c16429
"REDMI 10 (Midnight Black, 64 GB)",4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
17.02 cm (6.7 inch) HD+ Display
50MP + 2MP | 5MP Front Camera
6000 mAh Lithium Polymer Battery
Qualcomm Snapdragon 680 Processor
1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","10,499","14,999",https://www.flipkart.com/redmi-10-midnight-black-64-gb/p/itmd93641e4ebb47?pid=MOBGC9GYEBH3GZ4E&lid=LSTMOBGC9GYEBH3GZ4EOWOH9V&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_26&otracker=search&fm=organic&iid=2e0419b0-f212-4d1f-a13c-09390523109b.MOBGC9GYEBH3GZ4E.SEARCH&ppt=None&ppn=None&ssid=kkrxly321s0000001653450243250&qH=eb4af0bf07c16429
"REDMI Note 10S (Deep Sea Blue, 64 GB)",4.4,"6 GB RAM | 64 GB ROM | Expandable Upto 512 GB
16.33 cm (6.43 inch) Full HD+ Super AMOLED Display
64MP + 8MP + 2MP + 2MP | 13MP Front Camera
5000 mAh Lithium-Ploymer Battery
Mediatek Helio G95 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories","12,999","16,999",https://www.flipkart.com/redmi-note-10s-deep-sea-blue-64-gb/p/itmdd3b943d713b8?pid=MOBGAHD8GWKMFWFG&lid=LSTMOBGAHD8GWKMFWFGQXE9RS&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_27&otracker=search&fm=organic&iid=2e0419b0-f212-4d1f-a13c-09390523109b.MOBGAHD8GWKMFWFG.SEARCH&ppt=None&ppn=None&ssid=kkrxly321s0000001653450243250&qH=eb4af0bf07c16429
"REDMI Note 10T 5G (Graphite Black, 128 GB)",4.3,"6 GB RAM | 128 GB ROM
16.66 cm (6.56 inch) Full HD+ Display
48MP Primary Camera + 2MP Macro Lens + 2MP Depth Sensor | 8MP Front Camera
5000 mAh Lithium Polymer Battery
Mediatek Dimensity 700 Processor
Max GPU Frequency: 950 MHz, Supports GAME Turbo 3.0, UFS2.2 Storage, Reading Mode 3.0, 360 Degree Ambient Light Sensors, Supports 18W Fast Charging
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories","13,999","18,999",https://www.flipkart.com/redmi-note-10t-5g-graphite-black-128-gb/p/itm2473a60f98194?pid=MOBGC7QFR6XRTYRF&lid=LSTMOBGC7QFR6XRTYRFAVVJIP&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_28&otracker=search&fm=organic&iid=2e0419b0-f212-4d1f-a13c-09390523109b.MOBGC7QFR6XRTYRF.SEARCH&ppt=None&ppn=None&ssid=kkrxly321s0000001653450243250&qH=eb4af0bf07c16429
"vivo T1 5G (Starlight Black, 128 GB)",4.4,"6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.71 cm (6.58 inch) Full HD+ Display
50MP + 2MP + 2MP | 16MP Front Camera
5000 mAh Lithium Battery
Qualcomm Snapdragon 695 Processor
1 Year Handset and 6 Months Accessories","16,990","20,990",https://www.flipkart.com/vivo-t1-5g-starlight-black-128-gb/p/itm594222523bd8f?pid=MOBGB9TYF7P7RNYX&lid=LSTMOBGB9TYF7P7RNYX6DFNDB&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_29&otracker=search&fm=organic&iid=2e0419b0-f212-4d1f-a13c-09390523109b.MOBGB9TYF7P7RNYX.SEARCH&ppt=None&ppn=None&ssid=kkrxly321s0000001653450243250&qH=eb4af0bf07c16429
"vivo T1 5G (Rainbow Fantasy, 128 GB)",4.4,"6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.71 cm (6.58 inch) Full HD+ Display
50MP + 2MP + 2MP | 16MP Front Camera
5000 mAh Lithium Battery
Qualcomm Snapdragon 695 Processor
1 Year Handset and 6 Months Accessories","16,990","20,990",https://www.flipkart.com/vivo-t1-5g-rainbow-fantasy-128-gb/p/itm594222523bd8f?pid=MOBGB9TYFQR3FQZT&lid=LSTMOBGB9TYFQR3FQZTWOTIUO&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_30&otracker=search&fm=organic&iid=2e0419b0-f212-4d1f-a13c-09390523109b.MOBGB9TYFQR3FQZT.SEARCH&ppt=None&ppn=None&ssid=kkrxly321s0000001653450243250&qH=eb4af0bf07c16429
"vivo T1 5G (Rainbow Fantasy, 128 GB)",4.3,"4 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.71 cm (6.58 inch) Full HD+ Display
50MP + 2MP + 2MP | 16MP Front Camera
5000 mAh Lithium Battery
Qualcomm Snapdragon 695 Processor
1 Year Handset and 6 Months Accessories","15,990","19,990",https://www.flipkart.com/vivo-t1-5g-rainbow-fantasy-128-gb/p/itm594222523bd8f?pid=MOBGB9TYGW5NGXVH&lid=LSTMOBGB9TYGW5NGXVHAMNS12&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_31&otracker=search&fm=organic&iid=2e0419b0-f212-4d1f-a13c-09390523109b.MOBGB9TYGW5NGXVH.SEARCH&ppt=None&ppn=None&ssid=kkrxly321s0000001653450243250&qH=eb4af0bf07c16429
"vivo T1 5G (Starlight Black, 128 GB)",4.3,"4 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.71 cm (6.58 inch) Full HD+ Display
50MP + 2MP + 2MP | 16MP Front Camera
5000 mAh Lithium Battery
Qualcomm Snapdragon 695 Processor
1 Year Handset and 6 Months Accessories","15,990","19,990",https://www.flipkart.com/vivo-t1-5g-starlight-black-128-gb/p/itm594222523bd8f?pid=MOBGB9TYNDFYKNQ6&lid=LSTMOBGB9TYNDFYKNQ6FPMNDZ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_32&otracker=search&fm=organic&iid=2e0419b0-f212-4d1f-a13c-09390523109b.MOBGB9TYNDFYKNQ6.SEARCH&ppt=None&ppn=None&ssid=kkrxly321s0000001653450243250&qH=eb4af0bf07c16429
"POCO C31 (Shadow Gray, 32 GB)",4.4,"3 GB RAM | 32 GB ROM | Expandable Upto 512 GB
16.59 cm (6.53 inch) HD+ Display
13MP + 2MP + 2MP | 5MP Front Camera
5000 mAh Lithium-ion Polymer Battery
MediaTek Helio G35 Processor
1 Year Warranty for Handset, 6 Months for Accessories","7,499","10,999",https://www.flipkart.com/poco-c31-shadow-gray-32-gb/p/itmffefb8bb085e3?pid=MOBG73E7VZH7XHJY&lid=LSTMOBG73E7VZH7XHJYYXFO9I&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_33&otracker=search&fm=organic&iid=2e0419b0-f212-4d1f-a13c-09390523109b.MOBG73E7VZH7XHJY.SEARCH&ppt=None&ppn=None&ssid=kkrxly321s0000001653450243250&qH=eb4af0bf07c16429
"realme C31 (Light Silver, 32 GB)",4.5,"3 GB RAM | 32 GB ROM | Expandable Upto 1 TB
16.56 cm (6.52 inch) HD Display
13MP + 2MP + 0.3MP | 5MP Front Camera
5000 mAh Battery
Unisoc T612 Processor
1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","9,299","10,999",https://www.flipkart.com/realme-c31-light-silver-32-gb/p/itme0f2960da9bbb?pid=MOBGCGVA3DANQNQH&lid=LSTMOBGCGVA3DANQNQHPKNMV9&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_34&otracker=search&fm=organic&iid=2e0419b0-f212-4d1f-a13c-09390523109b.MOBGCGVA3DANQNQH.SEARCH&ppt=None&ppn=None&ssid=kkrxly321s0000001653450243250&qH=eb4af0bf07c16429
